event,op,regret,acc,eps_spent,capacity_remaining
385,insert,138434073236726.64,52504.96463228231,0.0,1.0
386,insert,138466479070558.33,254581.35765087168,0.0,1.0
387,insert,138467810641423.73,51605.636618643046,0.0,1.0
388,insert,138467831587435.12,6472.404713707045,0.0,1.0
389,insert,138467907767090.88,12343.391409552183,0.0,1.0
390,insert,138469508363579.22,56579.08603622786,0.0,1.0
391,insert,138470641525087.14,47605.913664593565,0.0,1.0
392,insert,138485825526542.86,174264.17563981525,0.0,1.0
393,insert,138485904856640.27,12596.038854631879,0.0,1.0
394,insert,138495178942030.95,136191.66928035446,0.0,1.0
395,insert,138496564597710.73,52643.24609635245,0.0,1.0
396,insert,138506385221508.83,140147.2354211797,0.0,1.0
397,insert,138507037463939.44,36117.65304154386,0.0,1.0
398,insert,138537627976542.05,247347.9840330499,0.0,1.0
399,insert,138544301469606.28,115529.15704904086,0.0,1.0
400,insert,138565092264836.11,203915.64545089722,0.0,1.0
401,insert,138573232134854.38,127592.0845370739,0.0,1.0
402,insert,138575224409365.45,63123.28431062599,0.0,1.0
403,insert,138577734890594.25,70858.75004254095,0.0,1.0
404,insert,138602023601348.11,220402.86184106342,0.0,1.0
405,insert,138606328621131.8,92790.29888619736,0.0,1.0
406,insert,138624563594054.56,190971.06023038167,0.0,1.0
407,insert,138627514697834.02,76825.82611916449,0.0,1.0
408,insert,138628009288155.53,31451.24231285986,0.0,1.0
409,insert,138656662078749.56,239385.84166163253,0.0,1.0
410,insert,138658214650524.11,55723.814918671975,0.0,1.0
411,insert,138663743599799.22,105156.54306900948,0.0,1.0
412,insert,138688294266880.72,221588.20853779075,0.0,1.0
413,insert,138691756815723.92,83217.17182419564,0.0,1.0
414,insert,138700701500147.73,133751.1452198833,0.0,1.0
415,insert,138720459680154.83,198787.22296511242,0.0,1.0
416,insert,138735541149064.27,173674.80479008955,0.0,1.0
417,insert,138737544240321.31,63294.41139702675,0.0,1.0
418,insert,138740489970453.75,76755.84840836404,0.0,1.0
419,insert,138750303071044.62,140093.54439715535,0.0,1.0
420,insert,138752636703053.62,68317.37713047715,0.0,1.0
421,insert,138752691771904.9,10494.651140612666,0.0,1.0
422,insert,138762577352383.94,140609.96038001415,0.0,1.0
423,insert,138762739404274.11,18002.88255638053,0.0,1.0
424,insert,138763703953847.34,43921.511204137554,0.0,1.0
425,insert,138764186612413.94,31069.553154145484,0.0,1.0
426,insert,138788976222212.84,222663.91624558292,0.0,1.0
427,insert,138791291401350.16,68046.73595869256,0.0,1.0
428,insert,138796162563635.95,98703.21459604526,0.0,1.0
429,insert,138853792770462.75,339500.2410214178,0.0,1.0
430,insert,138879253121839.5,225656.1604599016,0.0,1.0
431,insert,138882191572891.47,76660.95553764206,0.0,1.0
432,insert,138886406484505.72,91814.06879387036,0.0,1.0
433,insert,138895882233801.02,137664.44199788047,0.0,1.0
434,insert,138900284527222.5,93832.75996674754,0.0,1.0
435,insert,138901273219173.92,44467.7850003037,0.0,1.0
436,insert,138901800840965.42,32484.512971759294,0.0,1.0
437,insert,138901802006418.03,1526.7302408379255,0.0,1.0
438,insert,138904281580653.52,70421.22173726803,0.0,1.0
439,insert,138910099227521.52,107867.01875918043,0.0,1.0
440,insert,138914728225143.36,96218.47662323277,0.0,1.0
441,insert,138914744039022.95,5623.856256971252,0.0,1.0
442,insert,138915904719164.22,48180.496910264774,0.0,1.0
443,insert,138916100805204.31,19803.335077607822,0.0,1.0
444,insert,138918000847843.39,61644.83172308217,0.0,1.0
445,insert,138926466596256.03,130121.08524478736,0.0,1.0
446,insert,138947323103413.53,204237.64176810373,0.0,1.0
447,insert,138968488507644.98,205744.52231565217,0.0,1.0
448,insert,138974055007124.9,105513.02744143383,0.0,1.0
449,insert,138974055558414.78,1050.0379804546974,0.0,1.0
450,insert,139001737234702.55,235294.18304650864,0.0,1.0
451,insert,139001781012132.4,9357.07538313116,0.0,1.0
452,insert,139001894478196.8,15064.266619352195,0.0,1.0
453,insert,139021885963085.98,199957.41991325453,0.0,1.0
454,insert,139023562455149.56,57904.95770798776,0.0,1.0
455,insert,139024003991955.1,29716.55449496361,0.0,1.0
456,insert,139030566388306.58,114563.48765186564,0.0,1.0
457,insert,139039537708855.73,133950.14407721866,0.0,1.0
458,insert,139039761149192.11,21139.55233098952,0.0,1.0
459,insert,139040589098217.44,40692.72724530977,0.0,1.0
460,insert,139040593301149.03,2899.2866666229675,0.0,1.0
461,insert,139125052841508.22,410997.66510089475,0.0,1.0
462,insert,139132009478871.89,117954.5451745921,0.0,1.0
463,insert,139132041442811.11,7995.49113080652,0.0,1.0
464,insert,139165688329861.0,259410.43560309656,0.0,1.0
465,insert,139206623799425.31,286130.9824689268,0.0,1.0
466,insert,139207301741939.83,36822.3441546449,0.0,1.0
467,insert,139207362581483.45,11030.82441328997,0.0,1.0
468,insert,139213859453567.03,113990.10556692506,0.0,1.0
469,insert,139232224805843.86,191652.56208480545,0.0,1.0
470,insert,139235065883473.89,75380.07203543172,0.0,1.0
471,insert,139235438310076.66,27291.998928684217,0.0,1.0
472,insert,139289332710656.1,328312.04845220863,0.0,1.0
473,insert,139310452464556.9,205522.5238303959,0.0,1.0
474,insert,139319540016360.55,134815.07188466488,0.0,1.0
475,insert,139367386813586.1,309343.8126924379,0.0,1.0
476,insert,139367393196468.9,3572.9211602250143,0.0,1.0
