step,regret
81300,[5.54696239e+09]
81400,[5.54696241e+09]
81500,[5.54696242e+09]
81600,[5.54696244e+09]
81700,[5.54696245e+09]
81800,[5.54696247e+09]
81900,[5.54696248e+09]
82000,[5.5469625e+09]
82100,[5.54696251e+09]
82200,[5.54696254e+09]
82300,[5.54696255e+09]
82400,[5.54696257e+09]
82500,[5.54696259e+09]
82600,[5.54696261e+09]
82700,[5.54696262e+09]
82800,[5.54696263e+09]
82900,[5.54696265e+09]
83000,[5.54696267e+09]
83100,[5.54696268e+09]
83200,[5.5469627e+09]
83300,[5.54696272e+09]
83400,[5.54696273e+09]
83500,[5.54696275e+09]
83600,[5.54696277e+09]
83700,[5.54696278e+09]
83800,[5.5469628e+09]
83900,[5.54696281e+09]
84000,[5.54696282e+09]
84100,[5.54696283e+09]
84200,[5.54696285e+09]
84300,[5.54696287e+09]
84400,[5.54696288e+09]
84500,[5.54696289e+09]
84600,[5.54696291e+09]
84700,[5.54696292e+09]
84800,[5.54696294e+09]
84900,[5.54696296e+09]
85000,[5.54696297e+09]
85100,[5.54696299e+09]
85200,[5.546963e+09]
85300,[5.54696302e+09]
85400,[5.54696304e+09]
85500,[5.54696306e+09]
85600,[5.54696307e+09]
85700,[5.54696309e+09]
85800,[5.54696311e+09]
85900,[5.54696312e+09]
86000,[5.54696314e+09]
86100,[5.54696315e+09]
86200,[5.54696316e+09]
86300,[5.54696318e+09]
86400,[5.54696319e+09]
86500,[5.54696321e+09]
86600,[5.54696322e+09]
86700,[5.54696324e+09]
86800,[5.54696326e+09]
86900,[5.54696327e+09]
87000,[5.54696329e+09]
87100,[5.54696331e+09]
87200,[5.54696332e+09]
87300,[5.54696333e+09]
87400,[5.54696335e+09]
87500,[5.54696336e+09]
87600,[5.54696337e+09]
87700,[5.54696339e+09]
87800,[5.5469634e+09]
87900,[5.54696342e+09]
88000,[5.54696344e+09]
88100,[5.54696345e+09]
88200,[5.54696347e+09]
88300,[5.54696349e+09]
88400,[5.5469635e+09]
88500,[5.54696352e+09]
88600,[5.54696354e+09]
88700,[5.54696355e+09]
88800,[5.54696356e+09]
88900,[5.54696358e+09]
89000,[5.5469636e+09]
89100,[5.54696362e+09]
89200,[5.54696363e+09]
89300,[5.54696365e+09]
89400,[5.54696366e+09]
89500,[5.54696368e+09]
89600,[5.54696369e+09]
89700,[5.54696372e+09]
89800,[5.54696373e+09]
89900,[5.54696375e+09]
90000,[5.54696377e+09]
90100,[5.54696379e+09]
90200,[5.54696381e+09]
90300,[5.54696382e+09]
90400,[5.54696384e+09]
90500,[5.54696386e+09]
90600,[5.54696387e+09]
90700,[5.54696389e+09]
90800,[5.5469639e+09]
90900,[5.54696391e+09]
91000,[5.54696393e+09]
91100,[5.54696395e+09]
91200,[5.54696396e+09]
91300,[5.54696397e+09]
91400,[5.54696399e+09]
91500,[5.546964e+09]
91600,[5.54696402e+09]
91700,[5.54696403e+09]
91800,[5.54696404e+09]
91900,[5.54696406e+09]
92000,[5.54696407e+09]
92100,[5.54696409e+09]
92200,[5.5469641e+09]
92300,[5.54696412e+09]
92400,[5.54696414e+09]
92500,[5.54696415e+09]
92600,[5.54696416e+09]
92700,[5.54696418e+09]
92800,[5.54696421e+09]
92900,[5.54696423e+09]
93000,[5.54696424e+09]
93100,[5.54696426e+09]
93200,[5.54696428e+09]
93300,[5.5469643e+09]
93400,[5.54696431e+09]
93500,[5.54696433e+09]
93600,[5.54696434e+09]
93700,[5.54696435e+09]
93800,[5.54696437e+09]
93900,[5.54696439e+09]
94000,[5.54696441e+09]
94100,[5.54696442e+09]
94200,[5.54696444e+09]
94300,[5.54696445e+09]
94400,[5.54696447e+09]
94500,[5.54696448e+09]
94600,[5.5469645e+09]
94700,[5.54696452e+09]
94800,[5.54696454e+09]
94900,[5.54696455e+09]
95000,[5.54696456e+09]
95100,[5.54696458e+09]
95200,[5.5469646e+09]
95300,[5.54696462e+09]
95400,[5.54696464e+09]
95500,[5.54696465e+09]
95600,[5.54696466e+09]
95700,[5.54696468e+09]
95800,[5.5469647e+09]
95900,[5.54696472e+09]
96000,[5.54696473e+09]
96100,[5.54696475e+09]
96200,[5.54696477e+09]
96300,[5.54696479e+09]
96400,[5.5469648e+09]
96500,[5.54696482e+09]
96600,[5.54696483e+09]
96700,[5.54696485e+09]
96800,[5.54696487e+09]
96900,[5.54696488e+09]
97000,[5.54696489e+09]
97100,[5.54696491e+09]
97200,[5.54696492e+09]
97300,[5.54696494e+09]
97400,[5.54696496e+09]
97500,[5.54696498e+09]
97600,[5.54696499e+09]
97700,[5.54696501e+09]
97800,[5.54696503e+09]
97900,[5.54696505e+09]
98000,[5.54696507e+09]
98100,[5.54696508e+09]
98200,[5.5469651e+09]
98300,[5.54696512e+09]
98400,[5.54696513e+09]
98500,[5.54696515e+09]
98600,[5.54696517e+09]
98700,[5.54696518e+09]
98800,[5.54696521e+09]
98900,[5.54696522e+09]
99000,[5.54696524e+09]
99100,[5.54696525e+09]
99200,[5.54696527e+09]
99300,[5.54696529e+09]
99400,[5.54696531e+09]
99500,[5.54696532e+09]
99600,[5.54696534e+09]
99700,[5.54696536e+09]
99800,[5.54696537e+09]
